All person,Average,Lower_Case_Limit,Upper_Case_Limit
Effect of the coronavirus (COVID-19) pandemic on their life,24,23,26
The environment,57,55,60
The conflict in Ukraine,72,70,74
Rising costs of living,78,76,80
No or mild symptoms,,,
Effect of the coronavirus (COVID-19) pandemic on their life,22,20,23
The environment,56,54,58
The conflict in Ukraine,72,70,74
Rising costs of living,75,73,77
Moderate to severe symptoms,,,
Effect of the coronavirus (COVID-19) pandemic on their life,39,34,45
The environment,64,59,69
The conflict in Ukraine,71,66,76
Rising costs of living,92,90,95
,,,
