Year,UK ,Global
1989,5.7, 12.47 
1990,8, 10.24 
1991,7.5, 8.77 
1992,4.6, 8.12 
1993,2.6, 6.86 
1994,2.2, 5.82 
1995,2.7, 5.76 
1996,2.9, 7.15 
1997,2.2, 7.00 
1998,1.8, 8.13 
1999,1.7, 9.00 
2000,1.2, 7.71 
2001,1.6, 7.51 
2002,1.5, 10.32 
2003,1.4, 9.15 
2004,1.4, 6.55 
2005,2.1, 5.57 
2006,2.5, 5.11 
2007,2.4, 3.08 
2008,3.5, 3.49 
2009,2, 3.84 
2010,2.5, 2.83 
2011,3.8, 3.03 
2012,2.6, 3.38 
2013,2.3, 4.11 
2014,1.5, 4.28 
2015,0.4, 4.82 
2016,1, 8.95 
2017,2.6, 2.94 
2018,2.3, 3.35 
2019,1.7, 4.82 
2020,1, 3.73 
2021,2.5, 2.62 
,,
,,
,,
,,
,,
,,
,,
,,
