Geography,Geography code,Aggregate,Date 
United Kingdom,K02000001,01 Food and non-alcoholic beverages,123.4
United Kingdom,K02000001,02 Alcoholic beverages and tobacco,127.7
United Kingdom,K02000001,03 Clothing and footwear,113.7
United Kingdom,K02000001,"04 Housing, water, electricity, gas and other fuels",125.8
United Kingdom,K02000001,"05 Furniture, household equipment and maintenance",123.8
United Kingdom,K02000001,06 Health,119.9
United Kingdom,K02000001,07 Transport,135.7
United Kingdom,K02000001,08 Communication,119.3
United Kingdom,K02000001,09 Recreation and culture,120.4
United Kingdom,K02000001,10 Education,129.4
United Kingdom,K02000001,11 Restaurants and hotels,130.9
United Kingdom,K02000001,12 Miscellaneous goods and services,112.6
United Kingdom,K02000001,Overall Index,124.8
